Lat,Lon,Country,Month,Sunlight,Temp,Cloud
-18.766947000000002,46.869107,Madagascar,10,18538.43,81.54838709677419,20.483870967741936
-18.766947000000002,46.869107,Madagascar,11,16121.679999999997,82.46666666666667,31.033333333333335
-18.766947000000002,46.869107,Madagascar,12,15091.509999999995,81.74193548387096,38.67741935483871
-9.189967,-75.015152,Peru,01,13895.26,99.41935483870968,40.61290322580645
-9.189967,-75.015152,Peru,02,9344.130000000001,94.17241379310344,56.6551724137931
-9.189967,-75.015152,Peru,03,9620.639999999996,93.0,57.38709677419355
-9.189967,-75.015152,Peru,04,11975.309999999998,94.9,44.06666666666667
-9.189967,-75.015152,Peru,05,13035.529999999999,95.45161290322581,40.096774193548384
-9.189967,-75.015152,Peru,06,14442.4,94.36666666666666,30.833333333333332
-9.189967,-75.015152,Peru,07,17088.66,97.70967741935483,21.161290322580644
-9.189967,-75.015152,Peru,08,17289.069999999996,99.96774193548387,21.387096774193548
-9.189967,-75.015152,Peru,09,15461.05,99.56666666666666,28.766666666666666
-9.189967,-75.015152,Peru,10,15264.069999999994,99.16129032258064,33.354838709677416
-9.189967,-75.015152,Peru,11,15835.38,100.76666666666667,29.8
-9.189967,-75.015152,Peru,12,14629.439999999999,98.93548387096774,37.806451612903224
-6.369028,34.888822,Tanzania,01,11342.309999999998,84.06451612903226,51.03225806451613
-6.369028,34.888822,Tanzania,02,13562.89,86.3103448275862,36.6551724137931
-6.369028,34.888822,Tanzania,03,14637.460000000003,89.87096774193549,35.12903225806452
-6.369028,34.888822,Tanzania,04,10188.01,83.8,52.63333333333333
-6.369028,34.888822,Tanzania,05,15538.460000000005,85.90322580645162,29.322580645161292
-6.369028,34.888822,Tanzania,06,16021.739999999996,84.9,24.3
-6.369028,34.888822,Tanzania,07,18412.170000000002,85.58064516129032,16.032258064516128
-6.369028,34.888822,Tanzania,08,18113.16,86.29032258064517,18.225806451612904
-6.369028,34.888822,Tanzania,09,18108.249999999996,88.96666666666667,16.666666666666668
-6.369028,34.888822,Tanzania,10,19172.56,92.19354838709677,15.838709677419354
-6.369028,34.888822,Tanzania,11,18123.57,92.0,18.833333333333332
-6.369028,34.888822,Tanzania,12,15924.84,89.09677419354838,31.451612903225808
-3.3730559999999996,29.918885999999997,Burundi,01,15514.449999999999,77.61290322580645,32.12903225806452
-3.3730559999999996,29.918885999999997,Burundi,02,16903.21,79.58620689655173,20.448275862068964
-3.3730559999999996,29.918885999999997,Burundi,03,17596.100000000002,80.6774193548387,21.93548387096774
-3.3730559999999996,29.918885999999997,Burundi,04,12970.76,75.83333333333333,40.1
-3.3730559999999996,29.918885999999997,Burundi,05,15653.44,73.19354838709677,29.64516129032258
-3.3730559999999996,29.918885999999997,Burundi,06,16387.739999999998,74.26666666666667,23.7
-3.3730559999999996,29.918885999999997,Burundi,07,19556.240000000005,77.96774193548387,12.0
-3.3730559999999996,29.918885999999997,Burundi,08,20155.700000000004,80.58064516129032,9.741935483870968
-3.3730559999999996,29.918885999999997,Burundi,09,18455.31,81.3,15.166666666666666
-3.3730559999999996,29.918885999999997,Burundi,10,17054.360000000004,78.64516129032258,24.741935483870968
-3.3730559999999996,29.918885999999997,Burundi,11,12949.039999999997,75.23333333333333,41.36666666666667
-3.3730559999999996,29.918885999999997,Burundi,12,17028.7,76.09677419354838,25.64516129032258
-1.940278,29.873888,Rwanda,01,16374.78,83.7741935483871,27.93548387096774
-1.940278,29.873888,Rwanda,02,17077.429999999997,87.13793103448276,19.379310344827587
-1.940278,29.873888,Rwanda,03,16957.910000000003,86.6774193548387,24.741935483870968
-1.940278,29.873888,Rwanda,04,12376.889999999998,80.73333333333333,43.0
-1.940278,29.873888,Rwanda,05,14095.109999999999,78.03225806451613,37.0
-1.940278,29.873888,Rwanda,06,15243.36,78.6,29.5
-1.940278,29.873888,Rwanda,07,18768.059999999998,83.54838709677419,16.06451612903226
-1.940278,29.873888,Rwanda,08,19239.290000000005,85.48387096774194,14.161290322580646
-1.940278,29.873888,Rwanda,09,17358.910000000003,84.36666666666666,20.266666666666666
-1.940278,29.873888,Rwanda,10,16667.62,82.6774193548387,26.258064516129032
-1.940278,29.873888,Rwanda,11,14431.29,78.73333333333333,34.3
-1.940278,29.873888,Rwanda,12,17709.22,80.74193548387096,22.161290322580644
6.4280550000000005,-9.429499,Liberia,01,15944.289999999995,94.58064516129032,27.322580645161292
6.4280550000000005,-9.429499,Liberia,02,14726.530000000002,93.34482758620689,28.96551724137931
6.4280550000000005,-9.429499,Liberia,03,13677.84,93.03225806451613,39.16129032258065
6.4280550000000005,-9.429499,Liberia,04,12807.949999999997,93.6,42.0
6.4280550000000005,-9.429499,Liberia,05,12305.310000000001,92.25806451612904,46.70967741935484
6.4280550000000005,-9.429499,Liberia,06,7645.32,90.76666666666667,66.0
6.4280550000000005,-9.429499,Liberia,07,7819.390000000001,89.45161290322581,66.25806451612904
6.4280550000000005,-9.429499,Liberia,08,5049.0,87.7741935483871,77.96774193548387
6.4280550000000005,-9.429499,Liberia,09,7161.1900000000005,89.53333333333333,67.23333333333333
6.4280550000000005,-9.429499,Liberia,10,10330.79,91.0,53.58064516129032
